PetID,Description,AdoptionSpeed
d3b4f29f8,"Mayleen and Flo are two lovely adorable sisters. They are very friendly and affectionate, but wary of strangers and make good watchdogs. Mayleen has golden hues on her face, making her a husky look-alike. Flo has a darker face with brown feet, and is the more outgoing and dominat of the two. Looking for good homes. Adopters must vaccinate and spay them.",2
e9dc82251,"A total of 5 beautiful Tabbys available for adoption. Orange Tabbys and Grey Tabbys. They are all approx 6 weeks old and without any injuries, healthy and playful. Free spaying and neutering can be arrange for owners who adopts them. For more info, please contact Ms  as the kitties are all with her now.",2
8111f6d4a,Two-and-a-half month old girl. Very manja and cute.,2
693a90fda,Neil is a healthy and active ~2-month-old female kitten who was found together with her mother and siblings. She has weaned and is now ready for a loving home. Please e-mail me for inquiries. Thank you.,2
9d08c85ef,Gray kitten available for adoption in sungai petani. Looking for a home with loving responsible owner . No caging pls. There a five similar kittens all together but am posting up 2 first since pic of the others are not available.,2
45af03266,"the cat is a stray cat and i found it at my home's parking lot. one of it leg has a serious injury as it is crushed due to the accident. i had bought it to the vet and the leg had been amputated so, it live with three legs now. So, i hope that anyone could adopt this cat as she need care and good condition of shelter for it to fully recover. i cant keep it at my house because there's a regulation that pets are not allowed in my housing area",4
01a07b591,"Litter-trained, always wants to be given love and healthy but she tends to scratch herself around the neck and gives herself wounds. Her body is fine, it is usually her neck that is affected. I have brought to several vets multiple times but as it is not an actual sickness, they cannot help. Her wounds are self-inflicted. Unfortunately, I am not an experienced cat owner and am not able to take care of her as well as I should be. So I am looking for a cat-lover and someone who is able and willing to take care of her. Please refer to the photos to see an example of her wound.",1
10e723583,"A cute female puppy was found by my worker near my office -- Bingo She is a cute, adorable, active, energetic, but never consider naughty. We are trying to look for her a lovely home. Anyone who wish to give Bingo a home and love, please email to:  ,com or add me to your Msger or MSN Tell us you name, place, and whether u agree the terms and condition which listed below. Terms and Condition: The person who want to adopt the dog 1) Have to stay in landed property and not condo, apartment, flat or shop-lot. 2) Apply license for the dog and renew the license annually. 3) Have to bring the dog for vaccination. 4) Have to do heartworm prevention and deworming. 5) Have to neuter the dog.",3
324266c95,"Cloe was born on 17. March . She is a very beautiful, playful, three colored Female, with long tail. Toilette trained, Dewormed and very healthy. Before pick up i send her to the Vet for Vaccination. If you are able to take care of her, give her food, play with her, bring her to the vet and let her stay in your House without CAGE!!!... you can call me to visit Cloe. (fee is RM 65) She stay with a dog, me and my Family in a Non-Halal House! Please NO CAGE!!! She is not a TOY",2
b6fbfa344,"Profile Ringkas: Name: Mama Kin Age: Adult cat.Probably 1 year and half. Condition: Healthy and Pregnant (Probably will deliver in early May). Believed that this is not the first time she is pregnant. Characteristics: Adorable. Soft. Very affectionate dan sangat manja. Likes to purr a lot. Likes to roll her self on the floor:) Sangat comel bila dia golek-golekkan badan dia atas lantai;) Likes to clean herself frequently. Even with a bulging stomach, she is still a playful mama and like to play:) Why she needs to be adopted asap: Cause the Cat Catcher of my hostel block has started their cat cat catching operation and they may take Mama Kin away to unknown-unsafe place..worse, according to the Cat Catcher,the cats that they have captured will be taken to the zoo negara. Mama Kin's story: Mama Kin is a stray cat that came to my hostel block about two months ago, out of nowhere, right after Mega and her kids have left us. When we started to approach Mama Kin, we noticed that she is an adult cat and she is also pregnant. Without any bias or judgment, yet with with warm hearts, we welcome her to our lives and to this hostel block. Kami namakan dia Mama Kin sebab kaki dia ada 'white spots' that make her looks as if dia pakai stokin;) She is a pretty, adorable and cute pregnant mummy cat. She has been a very good and affectionate cat too. Dia sangat manja. She likes to purr a lot every time I play with her, caress her head, stroke her fur and give her some food. Despite the fact that we love having her around, we know that ""some people"" don't like it. Dan ""some people"" yang dimaksudkan di sini ialah ""the hostel management people"". Just like other cases of cats in this hostel block, we do fear that Mama Kin will be taken away by the Cat Catcher assigned by the hostel management sooner or later. Kalau kucing-kucing ini diambil dan dibawa ke tempat seperti SPCA ke, saya tak kisah. But the Cat Catcher once told me that the cats that he has captured will be brought to zoo negara or somewhere unknown. I totally don't want these cats to be taken to zoo negara or anywhere else that's not safe. Therefore, me and my friends realize that one day we need to find Mama Kin a new owner and release her from this ""cat hater"" place. So, we at first plan to give her away for adoption after she has given birth. Unfortunately, the day that we fear has come. This morning, the Cat Catcher came to my hostel and he and the team searched high and low for any cats, just any cats whether it's the one that has been neutered or not. However, thank God, Alhamdulillah and I'm so grateful that some of my friends who are also cat lovers managed to act quickly and managed to save and hide other cats in some rooms and Mama Kin is now hiding in my room. And this is not the end. They will come again soon cause they know, the cats that they are searching for are not captured today. With all this panic moment and in such dangerous state, I think I can't wait until Mama Kin has delivered. I can't wait after her delivery. It's going to take longer time and her life is 'at stake' now, if I may put it that way. So, I'm putting up Mama Kin's profile in here, so that anybody who's a true cat lover, kind-hearted, considerate and caring out there could have the heart to adopt her. Please... Yes, she is pregnant. And the person who would love to adopt her must be the one who is prepared and ready for new comers. If that person doesn't plan to have them all, perhaps you could be patient for awhile and later, you could give them away for adoption once the kittens are big enough. I'm searching for someone who really really appreciates cats whether they are adults or kittens. Why I say this is because, when I 'advertise' Mega and her kitten not long ago,I found out some people like to have the kittens yet abandon the mother. There was this one couple who intended to adopt Mega and one of her kittens. Tapi this couple told me that they live in an apartment. So what they plan to do is to keep the kitten but put Mega downstairs with other stray cats. Kalau macam tu, apa guna saya iklankan untuk Mega di'adopt'. Baik saya 'buang' saja Mega ke zoo negara seperti yang dilakukan oleh Cat Catcher di hostel block saya ni. So, basically, all I'm asking and hoping for is to have a cat lover who is responsible and caring to take good care of the pregnant and adorable Mama Kin which deserves to feel loved and be happy in a safer place, as soon as possible. That's all. Please... Thank you=)",2
